Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
2018-08-16 13:50:30+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1589,2018-08-16 13:50:30+00:00
2018-08-16 13:50:30+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0589,2018-08-16 13:50:30+00:00
2018-08-16 03:57:31+00:00,us-west-2c,c3.xlarge,Windows,0.2228,2018-08-16 03:57:31+00:00
2018-08-16 03:15:30+00:00,us-west-2a,c3.xlarge,Windows,0.2228,2018-08-16 03:15:30+00:00
2018-08-16 00:36:23+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1588,2018-08-16 00:36:23+00:00
2018-08-16 00:36:23+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0588,2018-08-16 00:36:23+00:00
2018-08-15 23:12:52+00:00,us-west-2c,c3.xlarge,Windows,0.2221,2018-08-15 23:12:52+00:00
2018-08-15 22:30:48+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1581,2018-08-15 22:30:48+00:00
2018-08-15 22:30:48+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0581,2018-08-15 22:30:48+00:00
2018-08-15 21:57:26+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1576,2018-08-15 21:57:26+00:00
2018-08-15 21:57:26+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0576,2018-08-15 21:57:26+00:00
2018-08-15 21:40:51+00:00,us-west-2b,c3.xlarge,Windows,0.2228,2018-08-15 21:40:51+00:00
2018-08-15 21:32:51+00:00,us-west-2a,c3.xlarge,Windows,0.2221,2018-08-15 21:32:51+00:00
2018-08-15 16:56:38+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1569,2018-08-15 16:56:38+00:00
2018-08-15 16:56:38+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0569,2018-08-15 16:56:38+00:00
2018-08-15 15:54:40+00:00,us-west-2c,c3.xlarge,Windows,0.2206,2018-08-15 15:54:40+00:00
2018-08-15 15:54:40+00:00,us-west-2a,c3.xlarge,Windows,0.2206,2018-08-15 15:54:40+00:00
2018-08-15 15:54:40+00:00,us-west-2b,c3.xlarge,Windows,0.2206,2018-08-15 15:54:40+00:00
2018-08-15 12:45:54+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1579,2018-08-15 12:45:54+00:00
2018-08-15 12:45:54+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0579,2018-08-15 12:45:54+00:00
2018-08-15 11:48:44+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1559,2018-08-15 11:48:44+00:00
2018-08-15 11:48:44+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0559,2018-08-15 11:48:44+00:00
2018-08-14 19:33:18+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1578,2018-08-14 19:33:18+00:00
2018-08-14 19:33:18+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0578,2018-08-14 19:33:18+00:00
2018-08-14 17:52:44+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1568,2018-08-14 17:52:44+00:00
2018-08-14 17:52:44+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0568,2018-08-14 17:52:44+00:00
2018-08-14 15:53:51+00:00,us-west-2c,c3.xlarge,Windows,0.2206,2018-08-14 15:53:51+00:00
2018-08-14 15:53:51+00:00,us-west-2a,c3.xlarge,Windows,0.2206,2018-08-14 15:53:51+00:00
2018-08-14 15:53:51+00:00,us-west-2b,c3.xlarge,Windows,0.2206,2018-08-14 15:53:51+00:00
2018-08-14 11:48:39+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1559,2018-08-14 11:48:39+00:00
